Species,Mass_ln_g,First_appearance_mya,Last_appearance_mya,Family,Order_or_higher,Limb_morphology
Viverravus acutus,5.989,55.9,52.7,Viverravidae,Carnivora,Digitigrade
Viverravus gracilis,6.836,53.1,46.4,Viverravidae,Carnivora,Digitigrade
Viverravus laytoni,5.283,57.6,55.8,Viverravidae,Carnivora,Digitigrade
Viverravus lutosus,6.231,55,50.3,Viverravidae,Carnivora,Digitigrade
Viverravus minutus,6.166,52.4,45.8,Viverravidae,Carnivora,Digitigrade
Viverravus politus,6.973,56.9,53.3,Viverravidae,Carnivora,Digitigrade
Viverravus rosei,4.667,55.1,54.5,Viverravidae,Carnivora,Digitigrade
Viverravus sicarius,7.383,50.2,48.1,Viverravidae,Carnivora,Digitigrade
Vulpavus australis,7.027,54.3,51.9,Viverravidae,Carnivora,Digitigrade
Vulpavus palustris,7.452,49.7,47.7,Viverravidae,Carnivora,Digitigrade
Acarictis ryani,5.737,55.4,54.8,Hyaenodontidae,Creodonta,Protodigitigrade
Arfia junnei,7.083,55.4,55.3,Hyaenodontidae,Creodonta,Protodigitigrade
Arfia opisthotoma,8.295,54.7,54.2,Hyaenodontidae,Creodonta,Protodigitigrade
Arfia shoshoniensis,8.207,55.5,54.5,Hyaenodontidae,Creodonta,Protodigitigrade
Arfia zele,7.713,55.3,54.8,Hyaenodontidae,Creodonta,Protodigitigrade
Galecyon mordax,7.597,55.3,53.1,Hyaenodontidae,Creodonta,Protodigitigrade
Gazinocyon vulpeculus,7.573,53.3,51,Hyaenodontidae,Creodonta,Protodigitigrade
Hyaenodon crucians,8.655,38.3,33.4,Hyaenodontidae,Creodonta,Protodigitigrade
Hyaenodon horridus,10.34,37.5,33.2,Hyaenodontidae,Creodonta,Protodigitigrade
Hyaenodon microdon,7.589,36.9,36.8,Hyaenodontidae,Creodonta,Protodigitigrade
Hyaenodon montanus,9.29,39.4,35.1,Hyaenodontidae,Creodonta,Protodigitigrade
Hyaenodon mustelinus,7.999,35.7,33.5,Hyaenodontidae,Creodonta,Protodigitigrade
Hyaenodon raineyi,6.998,35.8,35.7,Hyaenodontidae,Creodonta,Protodigitigrade
Hyaenodon venturae,7.409,40.3,37.4,Hyaenodontidae,Creodonta,Protodigitigrade
Hyaenodon vetus,9.143,40.7,37.5,Hyaenodontidae,Creodonta,Protodigitigrade
Prolimnocyon antiquus,7.282,53.1,50.3,Hyaenodontidae,Creodonta,Protodigitigrade
Prolimnocyon atavus,7.199,55.9,53,Hyaenodontidae,Creodonta,Protodigitigrade
Prolimnocyon haematus,6.377,55.3,54.2,Hyaenodontidae,Creodonta,Protodigitigrade
Prototomus deimos,6.227,55.4,54.2,Hyaenodontidae,Creodonta,Protodigitigrade
Prototomus martis,7.41,55.2,53.5,Hyaenodontidae,Creodonta,Protodigitigrade
Prototomus phobos,6.826,54.9,53.8,Hyaenodontidae,Creodonta,Protodigitigrade
Prototomus robustus,7.798,55.2,53.3,Hyaenodontidae,Creodonta,Protodigitigrade
Prototomus secundarius,7.329,55.1,53.1,Hyaenodontidae,Creodonta,Protodigitigrade
Proviverroides piercei,8.902,49.6,49.4,Hyaenodontidae,Creodonta,Protodigitigrade
Sinopa major,8.865,49.4,45.6,Hyaenodontidae,Creodonta,Protodigitigrade
Sinopa rapax,7.996,49.4,47.7,Hyaenodontidae,Creodonta,Protodigitigrade
Thinocyon velox,7.563,49.2,46.3,Hyaenodontidae,Creodonta,Protodigitigrade
Tritemnodon strenuus,8.457,54.3,50,Hyaenodontidae,Creodonta,Protodigitigrade
Apataelurus kayi,9.29,44.5,44.5,Oxyaenidae,Creodonta,Protodigitigrade
Dipsalidictis aequidens,10.03,56,55.6,Oxyaenidae,Creodonta,Protodigitigrade
Dipsalidictis krausei,9.522,56,55.7,Oxyaenidae,Creodonta,Protodigitigrade
Dipsalidictis platypus,8.757,55.9,55.2,Oxyaenidae,Creodonta,Protodigitigrade
Dipsalidictis transiens,9.656,55.9,54.2,Oxyaenidae,Creodonta,Protodigitigrade
Dipsalodon churchillorum,10.19,56.5,55.8,Oxyaenidae,Creodonta,Protodigitigrade
Dipsalodon matthewi,10.638,56,55.8,Oxyaenidae,Creodonta,Protodigitigrade
Machaeroides eothen,8.274,47.5,47.4,Oxyaenidae,Creodonta,Protodigitigrade
Oxyaena forcipata,11.057,54,51.8,Oxyaenidae,Creodonta,Protodigitigrade
Oxyaena gulo,10.181,55,54,Oxyaenidae,Creodonta,Protodigitigrade
Oxyaena intermedia,10.582,55,53.6,Oxyaenidae,Creodonta,Protodigitigrade
Palaeonictis occidentalis,10.53,57.4,54,Oxyaenidae,Creodonta,Protodigitigrade
Palaeonictis peloria,11.097,55.7,55.6,Oxyaenidae,Creodonta,Protodigitigrade
Patriofelis ulta,10.785,49.9,47.4,Oxyaenidae,Creodonta,Protodigitigrade
Tytthaena parrisi,8.013,58,57.8,Oxyaenidae,Creodonta,Protodigitigrade
Ellesmene eureka,6.726,51.3,51.2,Plagiomenidae,Dermoptera,Plantigrade
Elpidophorus elegans,6.317,60.7,57.8,Plagiomenidae,Dermoptera,Plantigrade
Elpidophorus minor,5.365,61.9,60.8,Plagiomenidae,Dermoptera,Plantigrade
Plagiomene accola,5.999,55.9,55.2,Plagiomenidae,Dermoptera,Plantigrade
Plagiomene multicuspis,6.473,54.8,54,Plagiomenidae,Dermoptera,Plantigrade
Planetetherium mirabile,4.978,56.6,55.8,Plagiomenidae,Dermoptera,Plantigrade
Thylacaelurus campester,3.534,43.3,42.8,Plagiomenidae,Dermoptera,Plantigrade
Thylacaelurus montanus,4.139,42.5,37.2,Plagiomenidae,Dermoptera,Plantigrade
Worlandia inusitata,3.974,55.9,55.6,Plagiomenidae ,Dermoptera,Plantigrade
Alphadon attaragos,2.472,82.8,71.1,Alphadontidae,Didelphimorphia,Plantigrade
Alphadon clemensi,2.476,93.5,92.6,Alphadontidae,Didelphimorphia,Plantigrade
Alphadon eatoni,2.41,93.5,66.2,Alphadontidae,Didelphimorphia,Plantigrade
Alphadon halleyi,3.006,82.8,70.5,Alphadontidae,Didelphimorphia,Plantigrade
Alphadon jasoni,3.435,67.7,66.4,Alphadontidae,Didelphimorphia,Plantigrade
Alphadon lillegraveni,3.801,93.5,92.6,Alphadontidae,Didelphimorphia,Plantigrade
Alphadon marshi,3.463,74.5,66.2,Alphadontidae,Didelphimorphia,Plantigrade
Alphadon perexiguus,2.114,70.8,70.5,Alphadontidae,Didelphimorphia,Plantigrade
Turgidodon madseni,3.494,72,71.7,Alphadontidae,Didelphimorphia,Plantigrade
Turgidodon petiminis,5.023,66.6,66.4,Alphadontidae,Didelphimorphia,Plantigrade
Turgidodon russelli,3.963,78.4,72.3,Alphadontidae,Didelphimorphia,Plantigrade
Aquiladelphis paraminor,4.614,74.5,74.2,Aquiladelphidae,Didelphimorphia,Plantigrade
Herpetotherium fugax,2.963,37.2,31.1,Herpetotheriidae,Didelphimorphia,Plantigrade
Herpetotherium knighti,3.141,50.6,40.1,Herpetotheriidae,Didelphimorphia,Plantigrade
Herpetotherium marsupium,3.889,52.4,42,Herpetotheriidae,Didelphimorphia,Plantigrade
Herpetotherium merriami,3.211,29.6,29.5,Herpetotheriidae,Didelphimorphia,Plantigrade
Herpetotherium valens,3.379,38.2,33.8,Herpetotheriidae,Didelphimorphia,Plantigrade
Herpetotherium youngi,2.861,33.9,24.1,Herpetotheriidae,Didelphimorphia,Plantigrade
Pediomys clemensi,3.409,78.4,72.3,Pediomyidae,Didelphimorphia ,Plantigrade
Pediomys elegans,3.212,72.7,66.2,Pediomyidae,Didelphimorphia ,Plantigrade
Pediomys fassetti,2.358,74.5,74.2,Pediomyidae,Didelphimorphia ,Plantigrade
Pediomys krejcii,2.44,89.3,66.4,Pediomyidae,Didelphimorphia ,Plantigrade
Mimoperadectes labrus,4.826,55.6,54.1,Perdectidae,Didelphimorphia,Plantigrade
Nanodelphys hunti,1.707,43.3,33.4,Perdectidae,Didelphimorphia,Plantigrade
Peradectes californicus,1.85,47.9,40.2,Perdectidae,Didelphimorphia ,Plantigrade
Peradectes chesteri,1.764,54.8,48.2,Perdectidae,Didelphimorphia ,Plantigrade
Peradectes elegans,2.584,60.7,55.1,Perdectidae,Didelphimorphia ,Plantigrade
Peradectes protinnominatus,2.195,59,54.2,Perdectidae,Didelphimorphia ,Plantigrade
Peratherium comstocki,4.483,54.8,44.1, Perdectidae ,Didelphimorphia ,Plantigrade
Probathyopsis harrisorum,11.036,57.3,56,Prodinoceratidae,Dinocerata,Protounguligrade
Probathyopsis lysitensis,10.487,53.1,53.1,Prodinoceratidae,Dinocerata,Protounguligrade
Probathyopsis praecursor,10.51,56,55.6,Prodinoceratidae,Dinocerata,Protounguligrade
Apatemys bellulus,3.247,53.3,47.1,Apatemyidae,Eutheria incertae sedis,Plantigrade
Apatemys chardini,2.843,55.2,54.2,Apatemyidae,Eutheria incertae sedis,Plantigrade
Apatemys downsi,4.558,43.6,41.9,Apatemyidae,Eutheria incertae sedis,Plantigrade
Apatemys hendryi,2.66,43.3,42.4,Apatemyidae,Eutheria incertae sedis,Plantigrade
Apatemys uintensis,3.625,44.5,41.3,Apatemyidae,Eutheria incertae sedis,Plantigrade
Jepsenella praepropera,3.186,62.4,60.5,Apatemyidae,Eutheria incertae sedis,Plantigrade
Labidolemur kayi,3.267,58.1,52.7,Apatemyidae,Eutheria incertae sedis,Plantigrade
Labidolemur major,4.822,60.2,60.1,Apatemyidae,Eutheria incertae sedis,Plantigrade
Labidolemur serus,3.869,54.6,54,Apatemyidae,Eutheria incertae sedis,Plantigrade
Labidolemur soricoides,2.861,58.9,57.6,Apatemyidae,Eutheria incertae sedis,Plantigrade
Sinclairella dakotensis,5.415,37.2,33.2,Apatemyidae,Eutheria incertae sedis,Plantigrade
Unuchinia asaphes,4.19,60,59.9,Apatemyidae,Eutheria incertae sedis,Plantigrade
Acmeodon secans,5.202,63,61.2,Cimolestidae,Eutheria incertae sedis,Plantigrade
Avunculus didelphodonti,4.101,62.1,62,Cimolestidae,Eutheria incertae sedis,Plantigrade
Cimolestes incisus,5.467,68.3,64.4,Cimolestidae,Eutheria incertae sedis,Plantigrade
Cimolestes magnus,6.986,68.3,65.3,Cimolestidae,Eutheria incertae sedis,Plantigrade
Didelphodus absarokae,5.327,55.3,52.9,Cimolestidae,Eutheria incertae sedis,Plantigrade
Didelphodus altidens,4.983,54.8,47.1,Cimolestidae,Eutheria incertae sedis,Plantigrade
Didelphodus rheos,4.95,42.9,42.8,Cimolestidae,Eutheria incertae sedis,Plantigrade
Didelphodus serus,4.884,43.3,43.2,Cimolestidae,Eutheria incertae sedis,Plantigrade
Gelastops joni,5.218,62.6,62.3,Cimolestidae,Eutheria incertae sedis,Plantigrade
Gelastops parcus,4.964,62.1,61.6,Cimolestidae,Eutheria incertae sedis,Plantigrade
Procerberus formicarum,4.594,65.4,65,Cimolestidae,Eutheria incertae sedis,Plantigrade
Aaptoryctes ivyi,4.835,57.2,56.8,Palaeoryctidae,Eutheria incertae sedis,Plantigrade
Eoryctes melanus,4.003,54.9,54.8,Palaeoryctidae,Eutheria incertae sedis,Plantigrade
Palaeoryctes cruoris,4.122,58,57.9,Palaeoryctidae,Eutheria incertae sedis,Plantigrade
Palaeoryctes puercensis,2.854,63,62.3,Palaeoryctidae,Eutheria incertae sedis,Plantigrade
Pararyctes pattersoni,2.887,60.6,58.3,Palaeoryctidae,Eutheria incertae sedis,Plantigrade
Alostera saskatchewanensis,3.935,67.7,66.4,Zhelestidae,Eutheria incertae sedis,Plantigrade
Avitotherium utahensis,3.493,72,71.7,Zhelestidae,Eutheria incertae sedis,Plantigrade
Gallolestes pachymandibularis,4.259,66,65.9,Zhelestidae,Eutheria incertae sedis,Plantigrade
Alilepus vagus,5.308,5.9,3.3,Leporidae,Lagomorpha,Lago-like
Alilepus wilsoni,4.724,4,2.7,Leporidae,Lagomorpha,Lago-like
Aluralagus bensonensis,4.925,4.6,3.1,Leporidae,Lagomorpha,Lago-like
Archaeolagus acaricolus,4.689,22.2,18.2,Leporidae,Lagomorpha,Lago-like
Archaeolagus emeraldensis,5.7,27.9,27.4,Leporidae,Lagomorpha,Lago-like
Archaeolagus ennisianus,5.034,29,26.1,Leporidae,Lagomorpha,Lago-like
Archaeolagus primigenius,5.535,24.2,22.1,Leporidae,Lagomorpha,Lago-like
Chadrolagus emryi,4.15,36.3,35.6,Leporidae,Lagomorpha,Lago-like
Hypolagus edensis,4.888,9.9,2.6,Leporidae,Lagomorpha,Lago-like
Hypolagus fontinalis,5.18,16.1,10.2,Leporidae,Lagomorpha,Lago-like
Hypolagus furlongi,4.996,3.3,2.2,Leporidae,Lagomorpha,Lago-like
Hypolagus gidleyi,5.758,6.7,2,Leporidae,Lagomorpha,Lago-like
Hypolagus oregonensis,5.991,7.2,6.2,Leporidae,Lagomorpha,Lago-like
Hypolagus parviplicatus,5.538,16.6,14,Leporidae,Lagomorpha,Lago-like
Hypolagus vetus,5.955,16.1,4.3,Leporidae,Lagomorpha,Lago-like
Litolagus molidens,5.084,34,33.9,Leporidae,Lagomorpha,Lago-like
Megalagus brachyodon,5.624,37.2,33.8,Leporidae,Lagomorpha,Lago-like
Megalagus primitivus,5.822,31.8,26.1,Leporidae,Lagomorpha,Lago-like
Megalagus turgidus,6.014,35,32.8,Leporidae,Lagomorpha,Lago-like
Mytonolagus petersoni,5.006,42.6,40.1,Leporidae,Lagomorpha,Lago-like
Notolagus lepusculus,4.475,4.7,2.7,Leporidae,Lagomorpha,Lago-like
Palaeolagus hemirhizis,4.845,35,33.7,Leporidae,Lagomorpha,Lago-like
Palaeolagus hypsodus,4.718,29.7,26.1,Leporidae,Lagomorpha,Lago-like
Palaeolagus philoi,5.182,28.5,24.9,Leporidae,Lagomorpha,Lago-like
Palaeolagus primus,4.691,37.9,37.8,Leporidae,Lagomorpha,Lago-like
Palaeolagus temnodon,5.121,37.2,33.8,Leporidae,Lagomorpha,Lago-like
Pewelagus mexicanus,5.224,4.6,4.6,Leporidae,Lagomorpha,Lago-like
Pronotolagus apachensis,4.432,16.9,9.6,Leporidae,Lagomorpha,Lago-like
Pronotolagus whitei,5.43,11.5,11.5,Leporidae,Lagomorpha,Lago-like
Tachylagus gawneae,5.137,42.9,42.8,Leporidae,Lagomorpha,Lago-like
Cuyamalagus dawsoni,4.607,16.9,16.9,Ochotonidae,Lagomorpha,Lago-like
Desmatolagus schizopetrus,5.291,20.3,17.5,Ochotonidae,Lagomorpha,Lago-like
Gripholagomys lavocati,4.552,24.2,21.3,Ochotonidae,Lagomorpha,Lago-like
Hesperolagomys fluviatilis,3.743,16.7,14.1,Ochotonidae,Lagomorpha,Lago-like
Hesperolagomys galbreathi,4.684,11.8,10.7,Ochotonidae,Lagomorpha,Lago-like
Ochotona spanglei,3.64,7.2,7.1,Ochotonidae,Lagomorpha,Lago-like
Oklahomalagus whisenhunti,4.538,11.3,11.3,Ochotonidae,Lagomorpha,Lago-like
Oreolagus colteri,3.853,14.7,14.7,Ochotonidae,Lagomorpha,Lago-like
Oreolagus nebrascensis,4.12,20.8,17.5,Ochotonidae,Lagomorpha,Lago-like
Oreolagus wallacei,4.057,15.2,15.2,Ochotonidae,Lagomorpha,Lago-like
Oreolagus wilsoni,4.187,20.6,20.5,Ochotonidae,Lagomorpha,Lago-like
Russellagus vonhofi,4.679,16.7,14.1,Ochotonidae,Lagomorpha,Lago-like
Adunator ladae,2.84,63,60,Leptictidae,Leptictida,Digitigrade
Prodiacodon concordiarcensis,4.109,62.4,56.8,Leptictidae,Leptictida,Digitigrade
Prodiacodon tauricinerei,4.817,55.9,53.1,Leptictidae,Leptictida,Digitigrade
Novacek_leptictid acutidens,5.176,37.6,35.6,Leptictidae,Leptictida,Digitigrade
Palaeictops bridgeri,5.424,50.8,48.1,Leptictidae,Leptictida,Digitigrade
Palaeictops multicuspis,5.491,52.9,50.7,Leptictidae,Leptictida,Digitigrade
Leptictis douglassi,7.058,38.3,38.3,Leptictidae,Leptictida,Digitigrade
Myrmecoboides montanensis,4.15,62.4,60.5,Leptictidae,Leptictida,Digitigrade
Ankylodon annectens,3.415,33.9,33.4,Amphilemuridae,Lipotyphla,Plantigrade
Crypholestes vaughni,2.927,48.2,45.1,Amphilemuridae,Lipotyphla,Plantigrade
Macrocranion nitens,3.365,55.2,50.7,Amphilemuridae,Lipotyphla,Plantigrade
Patriolestes novaceki,5.117,48.2,45.1,Amphilemuridae,Lipotyphla,Plantigrade
Proterixoides davisi,5.184,43.6,40.2,Amphilemuridae,Lipotyphla,Plantigrade
Scenopagus curtidens,3.292,53.4,45.9,Amphilemuridae,Lipotyphla,Plantigrade
Scenopagus edenensis,4.019,50.9,47.1,Amphilemuridae,Lipotyphla,Plantigrade
Scenopagus hewettensis,3.459,55,55,Amphilemuridae,Lipotyphla,Plantigrade
Scenopagus priscum,2.49,50.9,48.2,Amphilemuridae,Lipotyphla,Plantigrade
Sespedectes singularis,3.097,46,40.2,Amphilemuridae,Lipotyphla,Plantigrade
Sespedectes stocki,3.174,40.8,40.8,Amphilemuridae,Lipotyphla,Plantigrade
Apternodus iliffensis,4.089,37.2,36,Apternodontidae,Lipotyphla,Plantigrade
Koniaryctes paulus,1.992,55.2,55.2,Apternodontidae,Lipotyphla,Plantigrade
Oligoryctes cameronensis,1.498,38,35.6,Apternodontidae,Lipotyphla,Plantigrade
Amphechinus horncloudi,5.167,25.8,23.2,Erinaceidae,Lipotyphla,Plantigrade
Brachyerix hibbardi,4.359,22.2,22.1,Erinaceidae,Lipotyphla,Plantigrade
Brachyerix incertis,4.378,17.4,14.3,Erinaceidae,Lipotyphla,Plantigrade
Brachyerix macrotis,4.904,21.2,17.4,Erinaceidae,Lipotyphla,Plantigrade
Cedrocherus ryani,3.62,57.9,57.8,Erinaceidae,Lipotyphla,Plantigrade
Dartonius jepseni,2.353,54.8,54.3,Erinaceidae,Lipotyphla,Plantigrade
Eolestes simpsoni,2.351,54.8,54.8,Erinaceidae,Lipotyphla,Plantigrade
Hibbarderix obfuscatus,3.527,22.2,22.1,Erinaceidae,Lipotyphla,Plantigrade
Lanthanotherium sawini,4.515,15.9,13.1,Erinaceidae,Lipotyphla,Plantigrade
Leipsanolestes siegfriedti,3.249,56.6,55,Erinaceidae,Lipotyphla,Plantigrade
Litolestes ignotus,3.007,58.5,56.8,Erinaceidae,Lipotyphla,Plantigrade
Metechinus nevadensis,6.124,11.8,11.7,Erinaceidae,Lipotyphla,Plantigrade
Parvericius montanus,3.729,25.8,14.1,Erinaceidae,Lipotyphla,Plantigrade
Parvericius voorhiesi,3.362,24.2,24.1,Erinaceidae,Lipotyphla,Plantigrade
Proterix loomisi,6.26,32.2,31.9,Erinaceidae,Lipotyphla,Plantigrade
Stenoechinus tantalus,3.878,25.8,21.1,Erinaceidae,Lipotyphla,Plantigrade
Untermannerix copiosus,4.796,16.7,11.1,Erinaceidae,Lipotyphla,Plantigrade
Batodonoides powayensis,1.153,48.2,42.9,Geolabididae,Lipotyphla,Plantigrade
Centetodon aztecus,2.883,48.2,41.3,Geolabididae,Lipotyphla,Plantigrade
Centetodon bembicophagus,2.386,50.7,45.9,Geolabididae,Lipotyphla,Plantigrade
Centetodon chadronensis,2.609,38.8,35.6,Geolabididae,Lipotyphla,Plantigrade
Centetodon divaricatus,3.419,24.2,24.1,Geolabididae,Lipotyphla,Plantigrade
Centetodon hendryi,2.892,42.5,37.2,Geolabididae,Lipotyphla,Plantigrade
Centetodon kuenzii,2.781,43.1,33.8,Geolabididae,Lipotyphla,Plantigrade
Centetodon magnus,3.517,42.9,24.9,Geolabididae,Lipotyphla,Plantigrade
Centetodon marginalis,2.7,33.9,32.3,Geolabididae,Lipotyphla,Plantigrade
Centetodon neashami,3.97,54.2,53.3,Geolabididae,Lipotyphla,Plantigrade
Centetodon patratus,3.226,54.8,54.7,Geolabididae,Lipotyphla,Plantigrade
Centetodon pulcher,3.402,49.4,44.1,Geolabididae,Lipotyphla,Plantigrade
Gypsonictops illuminatus,4.565,67.2,66.4,Gypsonictopidae,Lipotyphla,Plantigrade
Gypsonictops lewisi,3.949,78.4,72.3,Gypsonictopidae,Lipotyphla,Plantigrade
Diacocherus meizon,2.955,58,57.5,Incertae sedis,Lipotyphla,Plantigrade
Diacocherus minutus,3.157,58.7,55.7,Incertae sedis,Lipotyphla,Plantigrade
Diacodon alticuspis,5.208,56.1,55,Incertae sedis,Lipotyphla,Plantigrade
Talpavoides dartoni,1.994,58.7,54.8,Incertae sedis,Lipotyphla,Plantigrade
Talpavus conjunctus,3.401,42.9,42.8,Incertae sedis,Lipotyphla,Plantigrade
Talpavus duplus,2.749,42.6,42.4,Incertae sedis,Lipotyphla,Plantigrade
Talpavus nitidus,2.345,49.4,47.1,Incertae sedis,Lipotyphla,Plantigrade
Micropternodus borealis,3.728,37.2,35.9,Micropternodontidae,Lipotyphla,Plantigrade
Micropternodus montrosensis,4.641,37.2,37.2,Micropternodontidae,Lipotyphla,Plantigrade
Micropternodus morgani,4.28,29,28.9,Micropternodontidae,Lipotyphla,Plantigrade
Eudaemonema cuspidata,5.704,62.1,60.5,Mixodectidae,Lipotyphla,Plantigrade
Mixodectes malaris,5.82,63,61,Mixodectidae,Lipotyphla,Plantigrade
Mixodectes pungens,7.05,63,62.8,Mixodectidae,Lipotyphla,Plantigrade
Ceutholestes dolosus,3.66,55.8,55.8,Nyctitheriidae,Lipotyphla,Plantigrade
Leptacodon catulus,1.982,53.4,53.4,Nyctitheriidae,Lipotyphla,Plantigrade
Leptacodon munusculum,2.08,62,57.8,Nyctitheriidae,Lipotyphla,Plantigrade
Leptacodon packi,2.696,61.2,56.8,Nyctitheriidae,Lipotyphla,Plantigrade
Leptacodon rosei,2.373,55.9,55.6,Nyctitheriidae,Lipotyphla,Plantigrade
Leptacodon tener,2.21,62.4,57.3,Nyctitheriidae,Lipotyphla,Plantigrade
Limaconyssus habrus,2.918,55.8,55.8,Nyctitheriidae,Lipotyphla,Plantigrade
Nyctitherium serotinum,2.522,50.7,47.7,Nyctitheriidae,Lipotyphla,Plantigrade
Nyctitherium velox,2.751,49.9,48.2,Nyctitheriidae,Lipotyphla,Plantigrade
Paranyctoides maleficus,2.396,78.4,77.2,Nyctitheriidae,Lipotyphla,Plantigrade
Paranyctoides megakeros,4.26,78.4,72.3,Nyctitheriidae,Lipotyphla,Plantigrade
Paranyctoides sternbergi,2.331,74.5,72.3,Nyctitheriidae,Lipotyphla,Plantigrade
Plagioctenodon krausae,1.485,56.2,55,Nyctitheriidae,Lipotyphla,Plantigrade
Wyonycteris chalix,1.825,55.8,55.8,Nyctitheriidae,Lipotyphla,Plantigrade
Plesiosorex coloradensis,5.255,21.3,18.1,Plesiosoricidae,Lipotyphla,Plantigrade
Plesiosorex donroosai,6.533,14.5,14.1,Plesiosoricidae,Lipotyphla,Plantigrade
Plesiosorex latidens,4.94,11.8,11.7,Plesiosoricidae,Lipotyphla,Plantigrade
Mesoscalops scopelotemos,4.558,18.8,17.5,Proscalopidae,Lipotyphla,Plantigrade
Proscalops secundus,4.345,25.4,20.5,Proscalopidae,Lipotyphla,Plantigrade
Proscalops tertius,4.574,33.9,27.7,Proscalopidae,Lipotyphla,Plantigrade
Adeloblarina berklandi,2.541,14.3,14.3,Soricidae,Lipotyphla,Plantigrade
Alluvisorex arcadentes,1.749,14.5,9.6,Soricidae,Lipotyphla,Plantigrade
Anchiblarinella wakeeneyensis,1.943,11.2,11.1,Soricidae,Lipotyphla,Plantigrade
Anouroneomys minimus,2.662,10.7,10.7,Soricidae,Lipotyphla,Plantigrade
Beckiasorex hibbardi,1.851,4,4,Soricidae,Lipotyphla,Plantigrade
Bisonalveus browni,4.526,60.7,60.1,Soricidae,Lipotyphla,Plantigrade
Blarina brevicauda,2.941,2.5,-1,Soricidae,Lipotyphla,Plantigrade
Blarina carolinensis,2.564,1.7,0,Soricidae,Lipotyphla,Plantigrade
Cryptotis adamsi,2.595,6.3,3.7,Soricidae,Lipotyphla,Plantigrade
Cryptotis kansasensis,3.509,2.8,2.4,Soricidae,Lipotyphla,Plantigrade
Domnina dakotensis,3.639,28.4,26.6,Soricidae,Lipotyphla,Plantigrade
Domnina gradata,3.601,42.9,32.1,Soricidae,Lipotyphla,Plantigrade
Domnina greeni,3.522,28.2,28.2,Soricidae,Lipotyphla,Plantigrade
Domnina thompsoni,2.98,38,36.3,Soricidae,Lipotyphla,Plantigrade
Ingentisorex tumididens,4.493,14.3,14.3,Soricidae,Lipotyphla,Plantigrade
Limnoecus niobrarensis,1.981,17.4,13.9,Soricidae,Lipotyphla,Plantigrade
Limnoecus tricuspis,1.633,17,10,Soricidae,Lipotyphla,Plantigrade
Paracryptotis gidleyi,3.333,4.5,3.8,Soricidae,Lipotyphla,Plantigrade
Paracryptotis rex,3.739,10,3.7,Soricidae,Lipotyphla,Plantigrade
Paradomnina relictus,3.175,16.2,14.4,Soricidae,Lipotyphla,Plantigrade
Petenyia concisa,2.06,11.2,11.1,Soricidae ,Lipotyphla,Plantigrade
Planisorex dixonensis,2.443,3.2,2.4,Soricidae,Lipotyphla,Plantigrade
Pseudotrimylus compressus,3.362,33.5,33.4,Soricidae,Lipotyphla,Plantigrade
Pseudotrimylus dakotensis,3.198,20.9,20.8,Soricidae,Lipotyphla,Plantigrade
Pseudotrimylus mawbyi,4.953,15.2,14.5,Soricidae,Lipotyphla,Plantigrade
Sorex cinereus,1.439,2.1,-1,Soricidae,Lipotyphla,Plantigrade
Sorex cudahyensis,1.887,0.8,0.8,Soricidae,Lipotyphla,Plantigrade
Sorex hagermanensis,1.986,4.5,4.4,Soricidae,Lipotyphla,Plantigrade
Sorex lacustris,2.396,0.8,0.8,Soricidae,Lipotyphla,Plantigrade
Sorex megapalustris,2.885,0.8,0.8,Soricidae,Lipotyphla,Plantigrade
Sorex meltoni,1.241,3.9,3.3,Soricidae,Lipotyphla,Plantigrade
Sorex powersi,2.05,4.5,3.8,Soricidae,Lipotyphla,Plantigrade
Sorex pratensis,2.009,0.8,0.8,Soricidae,Lipotyphla,Plantigrade
Tregosorex holmani,3.293,11.3,11.1,Soricidae,Lipotyphla,Plantigrade
Wilsonosorex bateslandensis,2.918,20.9,20.8,Soricidae,Lipotyphla,Plantigrade
Wilsonosorex conulatus,3.231,20.6,20.5,Soricidae,Lipotyphla,Plantigrade
Achlyoscapter longirostris,2.494,14.5,14.3,Talpidae,Lipotyphla,Plantigrade
Domninoides hessei,5.006,11.3,11.3,Talpidae,Lipotyphla,Plantigrade
Domninoides knoxjonesi,3.445,11.3,11.3,Talpidae,Lipotyphla,Plantigrade
Domninoides mimicus,4.792,13.4,11.1,Talpidae,Lipotyphla,Plantigrade
Domninoides riparensis,4.039,11.8,11.7,Talpidae,Lipotyphla,Plantigrade
Domninoides valentinensis,4.346,14.7,14.1,Talpidae,Lipotyphla,Plantigrade
Gaillardia thomsoni,4.23,8,7.2,Talpidae,Lipotyphla,Plantigrade
Hesperoscalops mcgrewi,5.225,6.8,5.8,Talpidae,Lipotyphla,Plantigrade
Hesperoscalops ruficervus,4.667,6.7,6.6,Talpidae,Lipotyphla,Plantigrade
Mystipterus martini,3.378,21.3,18.7,Talpidae,Lipotyphla,Plantigrade
Mystipterus pacificus,2.7,14.5,14.3,Talpidae,Lipotyphla,Plantigrade
Mystipterus vespertilio,2.25,11.8,11.7,Talpidae,Lipotyphla,Plantigrade
Neurotrichus columbianus,3.265,7.2,7.2,Talpidae,Lipotyphla,Plantigrade
Quadrodens wilsoni,3.833,26.6,26.4,Talpidae,Lipotyphla,Plantigrade
Scalopoides isodens,3.473,21.3,18.7,Talpidae,Lipotyphla,Plantigrade
Scalopoides ripafodiator,3.316,15.2,11.5,Talpidae,Lipotyphla,Plantigrade
