County Name,County Code,Region Name,Indicator Number,Indicator,Total Event Counts,Denominator,Denominator Note,Measure Unit,Percentage/Rate,95% CI,Data Comments,Data Years,Data Sources,Quartile,Mapping Distribution,Location
Western New York,101,Western New York,g64,"Percentage obese (95th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,18,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Cayuga,5,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,38,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(42.940095, -76.560755)"
Cortland,11,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,34.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.597101, -76.143291)"
Herkimer,21,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,36.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(43.070026, -74.994246)"
Jefferson,22,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,38.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(44.019295, -75.898971)"
Lewis,23,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,37.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(43.785537, -75.446296)"
Madison,25,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,37.5,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(42.986917, -75.720031)"
Oneida,30,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,36.5,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(43.149482, -75.361773)"
Onondaga,31,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,32.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(43.065629, -76.168033)"
Oswego,35,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,41.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(43.39123, -76.31133)"
St. Lawrence,40,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,42.9,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(44.689468, -75.242045)"
Tompkins,50,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,32,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.461024, -76.478784)"
Central New York,103,Central New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,36.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Chemung,7,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,35.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.116644, -76.812331)"
Livingston,24,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,34.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.763754, -77.765392)"
Monroe,26,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,33.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(43.161748, -77.620143)"
Ontario,32,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,32.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.894571, -77.252045)"
Schuyler,44,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,40.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(42.38593, -76.872032)"
Seneca,45,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,39.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(42.833627, -76.82753)"
Steuben,46,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,34.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.270053, -77.324618)"
Wayne,54,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,37.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(43.144336, -77.117995)"
Yates,57,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,35.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(42.634338, -77.078311)"
Finger Lakes,102,Finger Lakes,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,34.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Dutchess,13,Hudson Valley,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,34.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(41.686216, -73.840468)"
Orange,33,Hudson Valley,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,33.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(41.422459, -74.241929)"
Putnam,37,Hudson Valley,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,32,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(41.41131, -73.717443)"
Rockland,39,Hudson Valley,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,33.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(41.127287, -74.017033)"
Sullivan,48,Hudson Valley,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,41.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(41.705166, -74.711705)"
Ulster,51,Hudson Valley,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,36.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(41.848374, -74.099412)"
Westchester,55,Hudson Valley,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,28.9,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(41.039278, -73.805386)"
Hudson Valley,106,Hudson Valley,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,32.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Nassau,28,Nassau-Suffolk,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,31.5,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(40.715749, -73.601185)"
Suffolk,47,Nassau-Suffolk,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,34.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(40.820237, -73.119032)"
Nassau-Suffolk,108,Nassau-Suffolk,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,32.9,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Broome,3,New York-Penn,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,34.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.122015, -75.933191)"
Chenango,8,New York-Penn,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,39.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(42.481798, -75.570013)"
Tioga,49,New York-Penn,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,33.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.120252, -76.29595)"
New York-Penn,104,New York-Penn,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,35.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
New York State (excludin,888,New York State,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,33.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Albany,1,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,32.9,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.678066, -73.814233)"
Clinton,9,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,39,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(44.731944, -73.548883)"
Columbia,10,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,37.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(42.276913, -73.682168)"
Delaware,12,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,41.9,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(42.242972, -74.997944)"
Essex,15,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,36,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(44.166026, -73.685145)"
Franklin,16,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,40.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(44.705699, -74.340621)"
Fulton,17,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,33.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(43.06014, -74.331296)"
Greene,19,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,37.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(42.298326, -73.973376)"
Hamilton,20,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,18.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(43.618468, -74.395268)"
Montgomery,27,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,28.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.933637, -74.341972)"
Otsego,36,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,31.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.564852, -75.060334)"
Rensselaer,38,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,33.9,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.70098, -73.628669)"
Saratoga,41,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,29.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(43.00894, -73.786779)"
Schenectady,42,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,35.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.809233, -73.946838)"
Schoharie,43,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,34.5,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.643426, -74.434606)"
Warren,52,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,35.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(43.403024, -73.716044)"
Washington,53,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,38.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(43.289513, -73.454761)"
Northeastern New York,105,Northeastern New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,34.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Allegany,2,Western New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,30.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.226801, -78.020567)"
Cattaraugus,4,Western New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,38,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(42.224267, -78.606673)"
Chautauqua,6,Western New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,35.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.246904, -79.315313)"
Erie,14,Western New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,31.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(42.888143, -78.795544)"
Genesee,18,Western New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,36.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(43.000121, -78.172679)"
Niagara,29,Western New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,35.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 35.4 : Q1 & Q2,1,"(43.134634, -78.856419)"
Orleans,34,Western New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,38.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",37.8 + : Q4,3,"(43.248394, -78.218438)"
Wyoming,56,Western New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,35.9,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",35.4 - < 37.8 : Q3,2,"(42.723641, -78.204473)"
Western New York,101,Western New York,g65,"Percentage overweight or obese (85th percentile or higher) - All students (elementary, middle and high school)",,,,Percentage,33.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Cayuga,5,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",16.2 - < 17.2 : Q3,2,"(42.940095, -76.560755)"
Cortland,11,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,18.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",17.2 + : Q4,3,"(42.597101, -76.143291)"
Herkimer,21,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",16.2 - < 17.2 : Q3,2,"(43.070026, -74.994246)"
Jefferson,22,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",16.2 - < 17.2 : Q3,2,"(44.019295, -75.898971)"
Lewis,23,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,18.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",17.2 + : Q4,3,"(43.785537, -75.446296)"
Madison,25,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",16.2 - < 17.2 : Q3,2,"(42.986917, -75.720031)"
Oneida,30,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.7,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",16.2 - < 17.2 : Q3,2,"(43.149482, -75.361773)"
Onondaga,31,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",16.2 - < 17.2 : Q3,2,"(43.065629, -76.168033)"
Oswego,35,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,17.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",16.2 - < 17.2 : Q3,2,"(43.39123, -76.31133)"
St. Lawrence,40,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,18.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",17.2 + : Q4,3,"(44.689468, -75.242045)"
Tompkins,50,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,14.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(42.461024, -76.478784)"
Central New York,103,Central New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Chemung,7,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,18.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",17.2 + : Q4,3,"(42.116644, -76.812331)"
Livingston,24,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,14.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(42.763754, -77.765392)"
Monroe,26,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,15.5,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(43.161748, -77.620143)"
Ontario,32,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(42.894571, -77.252045)"
Schuyler,44,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,15.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(42.38593, -76.872032)"
Seneca,45,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(42.833627, -76.82753)"
Steuben,46,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(42.270053, -77.324618)"
Wayne,54,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,18,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",17.2 + : Q4,3,"(43.144336, -77.117995)"
Yates,57,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,17.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",16.2 - < 17.2 : Q3,2,"(42.634338, -77.078311)"
Finger Lakes,102,Finger Lakes,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Dutchess,13,Hudson Valley,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(41.686216, -73.840468)"
Orange,33,Hudson Valley,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,15.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(41.422459, -74.241929)"
Putnam,37,Hudson Valley,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,14.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(41.41131, -73.717443)"
Rockland,39,Hudson Valley,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,14.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(41.127287, -74.017033)"
Sullivan,48,Hudson Valley,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,17.5,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",17.2 + : Q4,3,"(41.705166, -74.711705)"
Ulster,51,Hudson Valley,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,18.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",17.2 + : Q4,3,"(41.848374, -74.099412)"
Westchester,55,Hudson Valley,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,14.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(41.039278, -73.805386)"
Hudson Valley,106,Hudson Valley,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,15.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Nassau,28,Nassau-Suffolk,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,15.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(40.715749, -73.601185)"
Suffolk,47,Nassau-Suffolk,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(40.820237, -73.119032)"
Nassau-Suffolk,108,Nassau-Suffolk,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,15.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Broome,3,New York-Penn,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.2,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(42.122015, -75.933191)"
Chenango,8,New York-Penn,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,17.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",16.2 - < 17.2 : Q3,2,"(42.481798, -75.570013)"
Tioga,49,New York-Penn,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,15.4,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(42.120252, -76.29595)"
New York-Penn,104,New York-Penn,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,16.3,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
New York State (excludin,888,New York State,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,15.8,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",,,
Albany,1,Northeastern New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,15.6,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",0 - < 16.2 : Q1 & Q2,1,"(42.678066, -73.814233)"
Clinton,9,Northeastern New York,g66,Percentage overweight but not obese (85th-<95th percentile) - Elementary students,,,,Percentage,18.1,,,2010-2012,"2010-2012 Student Weight Status Category Reporting System Data as of July, 2013",17.2 + : Q4,3,"(44.731944, -73.548883)"
